ROI,Bin,Count
ROI_1,0,26206
,,
ROI_1,1,742
,,
ROI_1,2,668
,,
ROI_1,3,568
,,
ROI_1,4,525
,,
ROI_1,5,508
,,
ROI_1,6,475
,,
ROI_1,7,431
,,
ROI_1,8,473
,,
ROI_1,9,418
,,
ROI_1,10,425
,,
ROI_1,11,443
,,
ROI_1,12,262
,,
ROI_1,13,344
,,
ROI_1,14,390
,,
ROI_1,15,368
,,
ROI_1,16,341
,,
ROI_1,17,357
,,
ROI_1,18,343
,,
ROI_1,19,335
,,
ROI_1,20,323
,,
ROI_1,21,334
,,
ROI_1,22,349
,,
ROI_1,23,250
,,
ROI_1,24,305
,,
ROI_1,25,312
,,
ROI_1,26,320
,,
ROI_1,27,282
,,
ROI_1,28,241
,,
ROI_1,29,292
,,
ROI_1,30,283
,,
ROI_1,31,247
,,
ROI_1,32,231
,,
ROI_1,33,213
,,
ROI_1,34,281
,,
ROI_1,35,199
,,
ROI_1,36,208
,,
ROI_1,37,209
,,
ROI_1,38,236
,,
ROI_1,39,214
,,
ROI_1,40,234
,,
ROI_1,41,215
,,
ROI_1,42,228
,,
ROI_1,43,229
,,
ROI_1,44,188
,,
ROI_1,45,191
,,
ROI_1,46,181
,,
ROI_1,47,158
,,
ROI_1,48,211
,,
ROI_1,49,159
,,
ROI_1,50,207
,,
ROI_1,51,169
,,
ROI_1,52,194
,,
ROI_1,53,177
,,
ROI_1,54,169
,,
ROI_1,55,153
,,
ROI_1,56,190
,,
ROI_1,57,170
,,
ROI_1,58,138
,,
ROI_1,59,162
,,
ROI_1,60,165
,,
ROI_1,61,152
,,
ROI_1,62,162
,,
ROI_1,63,163
,,
ROI_1,64,147
,,
ROI_1,65,163
,,
ROI_1,66,130
,,
ROI_1,67,164
,,
ROI_1,68,151
,,
ROI_1,69,142
,,
ROI_1,70,95
,,
ROI_1,71,142
,,
ROI_1,72,123
,,
ROI_1,73,119
,,
ROI_1,74,141
,,
ROI_1,75,128
,,
ROI_1,76,118
,,
ROI_1,77,133
,,
ROI_1,78,114
,,
ROI_1,79,102
,,
ROI_1,80,124
,,
ROI_1,81,74
,,
ROI_1,82,101
,,
ROI_1,83,120
,,
ROI_1,84,123
,,
ROI_1,85,133
,,
ROI_1,86,112
,,
