ROI,Bin,Count
ROI_1,0,10387
,,
ROI_1,1,141
,,
ROI_1,2,144
,,
ROI_1,3,107
,,
ROI_1,4,143
,,
ROI_1,5,138
,,
ROI_1,6,97
,,
ROI_1,7,122
,,
ROI_1,8,134
,,
ROI_1,9,86
,,
ROI_1,10,123
,,
ROI_1,11,106
,,
ROI_1,12,91
,,
ROI_1,13,91
,,
ROI_1,14,124
,,
ROI_1,15,112
,,
ROI_1,16,56
,,
ROI_1,17,98
,,
ROI_1,18,95
,,
ROI_1,19,58
,,
ROI_1,20,88
,,
ROI_1,21,86
,,
ROI_1,22,69
,,
ROI_1,23,91
,,
ROI_1,24,89
,,
ROI_1,25,62
,,
ROI_1,26,69
,,
ROI_1,27,107
,,
ROI_1,28,66
,,
ROI_1,29,78
,,
ROI_1,30,60
,,
ROI_1,31,55
,,
ROI_1,32,100
,,
ROI_1,33,80
,,
ROI_1,34,67
,,
ROI_1,35,74
,,
ROI_1,36,63
,,
ROI_1,37,52
,,
ROI_1,38,81
,,
ROI_1,39,85
,,
ROI_1,40,64
,,
ROI_1,41,46
,,
ROI_1,42,64
,,
ROI_1,43,61
,,
ROI_1,44,49
,,
ROI_1,45,73
,,
ROI_1,46,64
,,
ROI_1,47,51
,,
ROI_1,48,66
,,
ROI_1,49,81
,,
ROI_1,50,43
,,
ROI_1,51,67
,,
ROI_1,52,61
,,
ROI_1,53,55
,,
ROI_1,54,67
,,
ROI_1,55,55
,,
ROI_1,56,49
,,
ROI_1,57,51
,,
ROI_1,58,62
,,
ROI_1,59,38
,,
ROI_1,60,63
,,
ROI_1,61,53
,,
ROI_1,62,46
,,
ROI_1,63,45
,,
ROI_1,64,51
,,
ROI_1,65,52
,,
ROI_1,66,42
,,
ROI_1,67,50
,,
ROI_1,68,46
,,
ROI_1,69,33
,,
ROI_1,70,53
,,
ROI_1,71,49
,,
ROI_1,72,39
,,
ROI_1,73,47
,,
ROI_1,74,39
,,
ROI_1,75,42
,,
ROI_1,76,45
,,
ROI_1,77,45
,,
ROI_1,78,30
,,
ROI_1,79,62
,,
ROI_1,80,34
,,
ROI_1,81,29
,,
ROI_1,82,60
,,
ROI_1,83,42
,,
ROI_1,84,28
,,
ROI_1,85,43
,,
ROI_1,86,39
,,
ROI_1,87,27
,,
ROI_1,88,42
,,
ROI_1,89,39
,,
ROI_1,90,38
,,
ROI_1,91,35
,,
ROI_1,92,47
,,
ROI_1,93,43
,,
ROI_1,94,30
,,
ROI_1,95,42
,,
ROI_1,96,50
,,
ROI_1,97,30
,,
ROI_1,98,45
,,
ROI_1,99,28
,,
ROI_1,100,28
,,
ROI_1,101,38
,,
ROI_1,102,35
,,
ROI_1,103,28
,,
ROI_1,104,38
,,
ROI_1,105,32
,,
ROI_1,106,31
,,
ROI_1,107,34
,,
ROI_1,108,35
,,
ROI_1,109,18
,,
ROI_1,110,44
,,
ROI_1,111,35
,,
ROI_1,112,20
,,
ROI_1,113,29
,,
ROI_1,114,30
,,
ROI_1,115,33
,,
ROI_1,116,16
,,
ROI_1,117,41
,,
ROI_1,118,38
,,
ROI_1,119,26
,,
ROI_1,120,45
,,
ROI_1,121,25
,,
ROI_1,122,29
,,
ROI_1,123,39
,,
ROI_1,124,33
,,
ROI_1,125,25
,,
ROI_1,126,36
,,
ROI_1,127,36
,,
ROI_1,128,22
,,
ROI_1,129,28
,,
ROI_1,130,34
,,
ROI_1,131,21
,,
ROI_1,132,25
,,
ROI_1,133,23
,,
ROI_1,134,15
,,
ROI_1,135,35
,,
ROI_1,136,22
,,
ROI_1,137,16
,,
ROI_1,138,39
,,
ROI_1,139,25
,,
ROI_1,140,19
,,
ROI_1,141,29
,,
ROI_1,142,26
,,
ROI_1,143,33
,,
ROI_1,144,18
,,
ROI_1,145,19
,,
ROI_1,146,27
,,
ROI_1,147,16
,,
ROI_1,148,27
,,
ROI_1,149,24
,,
ROI_1,150,22
,,
ROI_1,151,27
,,
ROI_1,152,33
,,
ROI_1,153,21
,,
ROI_1,154,27
,,
ROI_1,155,24
,,
ROI_1,156,21
,,
ROI_1,157,31
,,
ROI_1,158,17
,,
ROI_1,159,16
,,
ROI_1,160,19
,,
ROI_1,161,25
,,
ROI_1,162,14
,,
ROI_1,163,27
,,
ROI_1,164,28
,,
ROI_1,165,21
,,
ROI_1,166,23
,,
ROI_1,167,24
,,
ROI_1,168,32
,,
ROI_1,169,18
,,
ROI_1,170,22
,,
ROI_1,171,23
,,
ROI_1,172,14
,,
ROI_1,173,28
,,
ROI_1,174,27
,,
ROI_1,175,12
,,
ROI_1,176,25
,,
ROI_1,177,23
,,
ROI_1,178,17
,,
ROI_1,179,25
,,
ROI_1,180,19
,,
ROI_1,181,21
,,
ROI_1,182,20
,,
ROI_1,183,23
,,
ROI_1,184,15
,,
ROI_1,185,19
,,
ROI_1,186,22
,,
ROI_1,187,18
,,
ROI_1,188,24
,,
ROI_1,189,20
,,
ROI_1,190,13
,,
ROI_1,191,32
,,
ROI_1,192,19
,,
ROI_1,193,23
,,
ROI_1,194,20
,,
ROI_1,195,26
,,
ROI_1,196,22
,,
ROI_1,197,21
,,
ROI_1,198,24
,,
ROI_1,199,24
,,
ROI_1,200,23
,,
ROI_1,201,23
,,
ROI_1,202,23
,,
ROI_1,203,11
,,
ROI_1,204,19
,,
ROI_1,205,22
,,
ROI_1,206,16
,,
ROI_1,207,22
,,
ROI_1,208,18
,,
ROI_1,209,13
,,
ROI_1,210,25
,,
ROI_1,211,14
,,
ROI_1,212,10
,,
ROI_1,213,18
,,
ROI_1,214,11
,,
ROI_1,215,18
,,
ROI_1,216,19
,,
ROI_1,217,14
,,
ROI_1,218,23
,,
ROI_1,219,10
,,
ROI_1,220,22
,,
ROI_1,221,15
,,
ROI_1,222,17
,,
ROI_1,223,33
,,
ROI_1,224,20
,,
ROI_1,225,10
,,
ROI_1,226,17
,,
ROI_1,227,15
,,
ROI_1,228,15
,,
ROI_1,229,13
,,
ROI_1,230,17
,,
ROI_1,231,7
,,
ROI_1,232,27
,,
ROI_1,233,24
,,
ROI_1,234,20
,,
ROI_1,235,17
,,
ROI_1,236,28
,,
ROI_1,237,11
,,
ROI_1,238,12
,,
ROI_1,239,23
,,
ROI_1,240,7
,,
ROI_1,241,14
,,
ROI_1,242,21
,,
ROI_1,243,16
,,
ROI_1,244,11
,,
ROI_1,245,11
,,
ROI_1,246,17
,,
ROI_1,247,13
,,
ROI_1,248,15
,,
ROI_1,249,11
,,
ROI_1,250,15
,,
ROI_1,251,12
,,
ROI_1,252,16
,,
ROI_1,253,15
,,
ROI_1,254,17
,,
ROI_1,255,4586
,,
ROI_2,0,7293
,,
ROI_2,1,64
,,
ROI_2,2,47
,,
ROI_2,3,38
,,
ROI_2,4,48
,,
ROI_2,5,37
,,
ROI_2,6,27
,,
ROI_2,7,29
,,
ROI_2,8,31
,,
ROI_2,9,28
,,
ROI_2,10,32
,,
ROI_2,11,32
,,
ROI_2,12,26
,,
ROI_2,13,33
,,
ROI_2,14,29
,,
ROI_2,15,25
,,
ROI_2,16,29
,,
ROI_2,17,39
,,
ROI_2,18,20
,,
ROI_2,19,20
,,
ROI_2,20,25
,,
ROI_2,21,18
,,
ROI_2,22,17
,,
ROI_2,23,27
,,
ROI_2,24,26
,,
ROI_2,25,22
,,
ROI_2,26,29
,,
ROI_2,27,24
,,
ROI_2,28,21
,,
ROI_2,29,25
,,
ROI_2,30,22
,,
ROI_2,31,10
,,
ROI_2,32,10
,,
ROI_2,33,18
,,
ROI_2,34,16
,,
ROI_2,35,15
,,
ROI_2,36,21
,,
ROI_2,37,10
,,
ROI_2,38,16
,,
ROI_2,39,22
,,
ROI_2,40,17
,,
ROI_2,41,11
,,
ROI_2,42,17
,,
ROI_2,43,14
,,
ROI_2,44,15
,,
ROI_2,45,13
,,
ROI_2,46,14
,,
ROI_2,47,19
,,
ROI_2,48,11
,,
ROI_2,49,13
,,
ROI_2,50,18
,,
ROI_2,51,15
,,
ROI_2,52,17
,,
ROI_2,53,12
,,
ROI_2,54,16
,,
ROI_2,55,13
,,
ROI_2,56,13
,,
ROI_2,57,19
,,
ROI_2,58,13
,,
ROI_2,59,13
,,
ROI_2,60,4
,,
ROI_2,61,20
,,
ROI_2,62,16
,,
ROI_2,63,22
,,
ROI_2,64,13
,,
ROI_2,65,13
,,
ROI_2,66,6
,,
ROI_2,67,21
,,
ROI_2,68,15
,,
ROI_2,69,10
,,
ROI_2,70,15
,,
ROI_2,71,9
,,
ROI_2,72,14
,,
ROI_2,73,3
,,
ROI_2,74,8
,,
ROI_2,75,11
,,
ROI_2,76,9
,,
ROI_2,77,17
,,
ROI_2,78,10
,,
ROI_2,79,15
,,
ROI_2,80,7
,,
ROI_2,81,8
,,
ROI_2,82,8
,,
ROI_2,83,6
,,
ROI_2,84,9
,,
ROI_2,85,13
,,
ROI_2,86,10
,,
ROI_2,87,10
,,
ROI_2,88,9
,,
ROI_2,89,9
,,
ROI_2,90,10
,,
ROI_2,91,14
,,
ROI_2,92,14
,,
ROI_2,93,13
,,
ROI_2,94,7
,,
ROI_2,95,11
,,
ROI_2,96,18
,,
ROI_2,97,7
,,
ROI_2,98,7
,,
ROI_2,99,2
,,
ROI_2,100,6
,,
ROI_2,101,12
,,
ROI_2,102,10
,,
ROI_2,103,10
,,
ROI_2,104,12
,,
ROI_2,105,16
,,
ROI_2,106,6
,,
ROI_2,107,8
,,
ROI_2,108,7
,,
ROI_2,109,13
,,
ROI_2,110,10
,,
ROI_2,111,10
,,
ROI_2,112,3
,,
ROI_2,113,11
,,
ROI_2,114,8
,,
ROI_2,115,9
,,
ROI_2,116,2
,,
ROI_2,117,9
,,
ROI_2,118,8
,,
ROI_2,119,4
,,
ROI_2,120,18
,,
ROI_2,121,8
,,
ROI_2,122,5
,,
ROI_2,123,6
,,
ROI_2,124,8
,,
ROI_2,125,6
,,
ROI_2,126,10
,,
ROI_2,127,5
,,
ROI_2,128,6
,,
ROI_2,129,12
,,
ROI_2,130,5
,,
ROI_2,131,9
,,
ROI_2,132,5
,,
ROI_2,133,9
,,
ROI_2,134,7
,,
ROI_2,135,7
,,
ROI_2,136,5
,,
ROI_2,137,7
,,
ROI_2,138,9
,,
ROI_2,139,7
,,
ROI_2,140,5
,,
ROI_2,141,11
,,
ROI_2,142,10
,,
ROI_2,143,5
,,
ROI_2,144,6
,,
ROI_2,145,4
,,
ROI_2,146,10
,,
ROI_2,147,7
,,
ROI_2,148,7
,,
ROI_2,149,4
,,
ROI_2,150,10
,,
ROI_2,151,10
,,
ROI_2,152,8
,,
ROI_2,153,4
,,
ROI_2,154,14
,,
ROI_2,155,7
,,
ROI_2,156,6
,,
ROI_2,157,3
,,
ROI_2,158,8
,,
ROI_2,159,3
,,
ROI_2,160,11
,,
ROI_2,161,5
,,
ROI_2,162,6
,,
ROI_2,163,10
,,
ROI_2,164,4
,,
ROI_2,165,6
,,
ROI_2,166,9
,,
ROI_2,167,18
,,
ROI_2,168,13
,,
ROI_2,169,3
,,
ROI_2,170,6
,,
ROI_2,171,9
,,
ROI_2,172,3
,,
ROI_2,173,9
,,
ROI_2,174,5
,,
ROI_2,175,4
,,
ROI_2,176,6
,,
ROI_2,177,6
,,
ROI_2,178,5
,,
ROI_2,179,6
,,
ROI_2,180,9
,,
ROI_2,181,6
,,
ROI_2,182,11
,,
ROI_2,183,10
,,
ROI_2,184,7
,,
ROI_2,185,9
,,
ROI_2,186,8
,,
ROI_2,187,6
,,
ROI_2,188,7
,,
ROI_2,189,6
,,
ROI_2,190,8
,,
ROI_2,191,4
,,
ROI_2,192,9
,,
ROI_2,193,11
,,
ROI_2,194,5
,,
ROI_2,195,6
,,
ROI_2,196,3
,,
ROI_2,197,8
,,
ROI_2,198,6
,,
ROI_2,199,5
,,
ROI_2,200,7
,,
ROI_2,201,4
,,
ROI_2,202,7
,,
ROI_2,203,7
,,
ROI_2,204,2
,,
ROI_2,205,9
,,
ROI_2,206,4
,,
ROI_2,207,3
,,
ROI_2,208,8
,,
ROI_2,209,5
,,
ROI_2,210,8
,,
ROI_2,211,6
,,
ROI_2,212,7
,,
ROI_2,213,4
,,
ROI_2,214,6
,,
ROI_2,215,7
,,
ROI_2,216,3
,,
ROI_2,217,3
,,
ROI_2,218,4
,,
ROI_2,219,9
,,
ROI_2,220,6
,,
ROI_2,221,6
,,
ROI_2,222,3
,,
ROI_2,223,3
,,
ROI_2,224,7
,,
ROI_2,225,3
,,
ROI_2,226,2
,,
ROI_2,227,10
,,
ROI_2,228,6
,,
ROI_2,229,6
,,
ROI_2,230,7
,,
ROI_2,231,8
,,
ROI_2,232,3
,,
ROI_2,233,6
,,
ROI_2,234,7
,,
ROI_2,235,4
,,
ROI_2,236,6
,,
ROI_2,237,4
,,
ROI_2,238,2
,,
ROI_2,239,5
,,
ROI_2,240,2
,,
ROI_2,241,2
,,
ROI_2,242,5
,,
ROI_2,243,7
,,
ROI_2,244,5
,,
ROI_2,245,4
,,
ROI_2,246,5
,,
ROI_2,247,6
,,
ROI_2,248,8
,,
ROI_2,249,8
,,
ROI_2,250,5
,,
ROI_2,251,5
,,
ROI_2,252,5
,,
ROI_2,253,2
,,
ROI_2,254,2
,,
ROI_2,255,2975
,,
ROI_3,0,19934
,,
ROI_3,1,126
,,
ROI_3,2,112
,,
ROI_3,3,88
,,
ROI_3,4,110
,,
ROI_3,5,110
,,
ROI_3,6,71
,,
ROI_3,7,89
,,
ROI_3,8,121
,,
ROI_3,9,80
,,
ROI_3,10,92
,,
ROI_3,11,69
,,
ROI_3,12,63
,,
ROI_3,13,80
,,
ROI_3,14,70
,,
ROI_3,15,74
,,
ROI_3,16,67
,,
ROI_3,17,63
,,
ROI_3,18,67
,,
ROI_3,19,53
,,
ROI_3,20,57
,,
ROI_3,21,54
,,
ROI_3,22,45
,,
ROI_3,23,60
,,
ROI_3,24,58
,,
ROI_3,25,43
,,
ROI_3,26,59
,,
ROI_3,27,56
,,
ROI_3,28,46
,,
