ROI,Bin,Count
ROI_1,0,41762
,,
ROI_1,1,2243
,,
ROI_1,2,1600
,,
ROI_1,3,1387
,,
ROI_1,4,1104
,,
ROI_1,5,1080
,,
ROI_1,6,885
,,
ROI_1,7,814
,,
ROI_1,8,838
,,
ROI_1,9,673
,,
ROI_1,10,694
,,
ROI_1,11,596
,,
ROI_1,12,634
,,
ROI_1,13,487
,,
ROI_1,14,493
,,
ROI_1,15,431
,,
ROI_1,16,434
,,
ROI_1,17,378
,,
ROI_1,18,425
,,
ROI_1,19,369
,,
ROI_1,20,368
,,
ROI_1,21,327
,,
ROI_1,22,321
,,
ROI_1,23,343
,,
ROI_1,24,251
,,
ROI_1,25,288
,,
ROI_1,26,257
,,
ROI_1,27,299
,,
ROI_1,28,237
,,
ROI_1,29,234
,,
ROI_1,30,215
,,
ROI_1,31,225
,,
ROI_1,32,188
,,
ROI_1,33,232
,,
ROI_1,34,165
,,
ROI_1,35,213
,,
ROI_1,36,156
,,
ROI_1,37,164
,,
ROI_1,38,164
,,
ROI_1,39,148
,,
ROI_1,40,159
,,
ROI_1,41,158
,,
ROI_1,42,143
,,
ROI_1,43,138
,,
ROI_1,44,147
,,
ROI_1,45,137
,,
ROI_1,46,154
,,
ROI_1,47,135
,,
ROI_1,48,122
,,
ROI_1,49,126
,,
ROI_1,50,99
,,
ROI_1,51,98
,,
ROI_1,52,101
,,
ROI_1,53,110
,,
ROI_1,54,101
,,
ROI_1,55,128
,,
ROI_1,56,102
,,
ROI_1,57,104
,,
ROI_1,58,96
,,
ROI_1,59,100
,,
ROI_1,60,100
,,
ROI_1,61,92
,,
ROI_1,62,83
,,
ROI_1,63,102
,,
ROI_1,64,78
,,
ROI_1,65,87
,,
ROI_1,66,81
,,
ROI_1,67,73
,,
ROI_1,68,94
,,
ROI_1,69,78
,,
ROI_1,70,83
,,
ROI_1,71,84
,,
ROI_1,72,63
,,
ROI_1,73,66
,,
ROI_1,74,62
,,
ROI_1,75,58
,,
ROI_1,76,58
,,
ROI_1,77,56
,,
ROI_1,78,55
,,
ROI_1,79,63
,,
ROI_1,80,44
,,
ROI_1,81,39
,,
ROI_1,82,47
,,
ROI_1,83,40
,,
ROI_1,84,49
,,
ROI_1,85,51
,,
ROI_1,86,34
,,
ROI_1,87,51
,,
ROI_1,88,30
,,
ROI_1,89,45
,,
ROI_1,90,43
,,
ROI_1,91,36
,,
ROI_1,92,39
,,
ROI_1,93,28
,,
ROI_1,94,48
,,
ROI_1,95,43
,,
ROI_1,96,37
,,
ROI_1,97,30
,,
ROI_1,98,41
,,
ROI_1,99,16
,,
ROI_1,100,31
,,
ROI_1,101,37
,,
ROI_1,102,48
,,
ROI_1,103,29
,,
ROI_1,104,30
,,
ROI_1,105,22
,,
ROI_1,106,36
,,
ROI_1,107,31
,,
ROI_1,108,24
,,
ROI_1,109,37
,,
ROI_1,110,22
,,
ROI_1,111,36
,,
ROI_1,112,21
,,
ROI_1,113,33
,,
