ROI,Bin,Count
ROI_1,0,31246
,,
ROI_1,1,867
,,
ROI_1,2,772
,,
ROI_1,3,699
,,
ROI_1,4,586
,,
ROI_1,5,599
,,
ROI_1,6,515
,,
ROI_1,7,441
,,
ROI_1,8,462
,,
ROI_1,9,421
,,
ROI_1,10,432
,,
ROI_1,11,361
,,
ROI_1,12,372
,,
ROI_1,13,332
,,
ROI_1,14,342
,,
ROI_1,15,311
,,
ROI_1,16,336
,,
ROI_1,17,318
,,
ROI_1,18,321
,,
ROI_1,19,278
,,
ROI_1,20,289
,,
ROI_1,21,292
,,
ROI_1,22,278
,,
ROI_1,23,242
,,
ROI_1,24,265
,,
ROI_1,25,233
,,
ROI_1,26,251
,,
ROI_1,27,262
,,
ROI_1,28,201
,,
ROI_1,29,231
,,
ROI_1,30,219
,,
ROI_1,31,204
,,
ROI_1,32,174
,,
ROI_1,33,182
,,
ROI_1,34,176
,,
ROI_1,35,194
,,
ROI_1,36,173
,,
ROI_1,37,163
,,
ROI_1,38,184
,,
ROI_1,39,153
,,
ROI_1,40,167
,,
ROI_1,41,153
,,
ROI_1,42,149
,,
ROI_1,43,175
,,
ROI_1,44,150
,,
ROI_1,45,151
,,
ROI_1,46,159
,,
ROI_1,47,142
,,
ROI_1,48,142
,,
ROI_1,49,115
,,
ROI_1,50,158
,,
ROI_1,51,115
,,
ROI_1,52,126
,,
ROI_1,53,127
,,
ROI_1,54,120
,,
ROI_1,55,122
,,
ROI_1,56,114
,,
ROI_1,57,106
,,
ROI_1,58,78
,,
ROI_1,59,110
,,
ROI_1,60,88
,,
ROI_1,61,101
,,
ROI_1,62,93
,,
ROI_1,63,95
,,
ROI_1,64,93
,,
ROI_1,65,87
,,
ROI_1,66,71
,,
ROI_1,67,87
,,
ROI_1,68,87
,,
ROI_1,69,88
,,
ROI_1,70,87
,,
ROI_1,71,82
,,
ROI_1,72,68
,,
ROI_1,73,89
,,
ROI_1,74,75
,,
ROI_1,75,76
,,
ROI_1,76,80
,,
ROI_1,77,98
,,
ROI_1,78,78
,,
ROI_1,79,60
,,
ROI_1,80,83
,,
ROI_1,81,91
,,
ROI_1,82,84
,,
ROI_1,83,66
,,
ROI_1,84,81
,,
ROI_1,85,75
,,
ROI_1,86,55
,,
ROI_1,87,61
,,
ROI_1,88,73
,,
ROI_1,89,65
,,
ROI_1,90,66
,,
ROI_1,91,57
,,
ROI_1,92,63
,,
ROI_1,93,67
,,
ROI_1,94,45
,,
ROI_1,95,61
,,
ROI_1,96,67
,,
ROI_1,97,65
,,
ROI_1,98,59
,,
ROI_1,99,43
,,
ROI_1,100,55
,,
ROI_1,101,58
,,
ROI_1,102,42
,,
ROI_1,103,52
,,
ROI_1,104,39
,,
ROI_1,105,40
,,
ROI_1,106,47
,,
ROI_1,107,50
,,
ROI_1,108,43
,,
ROI_1,109,35
,,
ROI_1,110,37
,,
ROI_1,111,48
,,
ROI_1,112,37
,,
ROI_1,113,40
,,
ROI_1,114,41
,,
ROI_1,115,48
,,
ROI_1,116,35
,,
ROI_1,117,38
,,
ROI_1,118,43
,,
ROI_1,119,28
,,
ROI_1,120,47
,,
ROI_1,121,42
,,
ROI_1,122,39
,,
ROI_1,123,31
,,
ROI_1,124,43
,,
ROI_1,125,42
,,
ROI_1,126,35
,,
ROI_1,127,31
,,
ROI_1,128,29
,,
ROI_1,129,31
,,
ROI_1,130,37
,,
ROI_1,131,33
,,
ROI_1,132,36
,,
ROI_1,133,38
,,
ROI_1,134,30
,,
ROI_1,135,26
,,
ROI_1,136,36
,,
ROI_1,137,28
,,
ROI_1,138,26
,,
ROI_1,139,23
,,
ROI_1,140,47
,,
ROI_1,141,27
,,
ROI_1,142,29
,,
ROI_1,143,21
,,
ROI_1,144,23
,,
ROI_1,145,24
,,
ROI_1,146,30
,,
ROI_1,147,26
,,
ROI_1,148,32
,,
ROI_1,149,28
,,
ROI_1,150,32
,,
ROI_1,151,26
,,
ROI_1,152,22
,,
ROI_1,153,18
,,
ROI_1,154,25
,,
ROI_1,155,31
,,
ROI_1,156,32
,,
ROI_1,157,28
,,
ROI_1,158,28
,,
ROI_1,159,19
,,
ROI_1,160,30
,,
ROI_1,161,21
,,
ROI_1,162,27
,,
ROI_1,163,27
,,
ROI_1,164,14
,,
ROI_1,165,21
,,
ROI_1,166,29
,,
ROI_1,167,22
,,
ROI_1,168,20
,,
ROI_1,169,20
,,
ROI_1,170,18
,,
ROI_1,171,20
,,
ROI_1,172,22
,,
ROI_1,173,17
,,
ROI_1,174,29
,,
ROI_1,175,26
,,
ROI_1,176,21
,,
ROI_1,177,27
,,
ROI_1,178,19
,,
ROI_1,179,18
,,
ROI_1,180,24
,,
ROI_1,181,21
,,
ROI_1,182,24
,,
ROI_1,183,34
,,
ROI_1,184,35
,,
ROI_1,185,38
,,
ROI_1,186,45
,,
ROI_1,187,27
,,
ROI_1,188,38
,,
ROI_1,189,28
,,
ROI_1,190,18
,,
ROI_1,191,28
,,
ROI_1,192,26
,,
ROI_1,193,13
,,
ROI_1,194,19
,,
ROI_1,195,22
,,
ROI_1,196,42
,,
ROI_1,197,12
,,
ROI_1,198,21
,,
ROI_1,199,13
,,
ROI_1,200,17
,,
ROI_1,201,12
,,
ROI_1,202,26
,,
ROI_1,203,11
,,
ROI_1,204,18
,,
ROI_1,205,16
,,
ROI_1,206,8
,,
ROI_1,207,20
,,
ROI_1,208,13
,,
ROI_1,209,11
,,
ROI_1,210,20
,,
ROI_1,211,20
,,
ROI_1,212,21
,,
ROI_1,213,31
,,
ROI_1,214,15
,,
ROI_1,215,16
,,
ROI_1,216,23
,,
ROI_1,217,22
,,
ROI_1,218,7
,,
ROI_1,219,15
,,
ROI_1,220,11
,,
ROI_1,221,14
,,
ROI_1,222,21
,,
ROI_1,223,16
,,
ROI_1,224,17
,,
ROI_1,225,21
,,
ROI_1,226,20
,,
ROI_1,227,15
,,
ROI_1,228,16
,,
ROI_1,229,10
,,
ROI_1,230,10
,,
ROI_1,231,13
,,
ROI_1,232,19
,,
ROI_1,233,10
,,
ROI_1,234,14
,,
ROI_1,235,16
,,
ROI_1,236,11
,,
ROI_1,237,10
,,
ROI_1,238,13
,,
ROI_1,239,13
,,
ROI_1,240,13
,,
ROI_1,241,19
,,
