ROI,Bin,Count
ROI_1,0,3595
,,
ROI_1,1,352
,,
ROI_1,2,353
,,
ROI_1,3,356
,,
ROI_1,4,345
,,
ROI_1,5,350
,,
ROI_1,6,298
,,
ROI_1,7,314
,,
ROI_1,8,294
,,
ROI_1,9,295
,,
ROI_1,10,308
,,
ROI_1,11,288
,,
ROI_1,12,345
,,
ROI_1,13,291
,,
ROI_1,14,321
,,
ROI_1,15,288
,,
ROI_1,16,295
,,
ROI_1,17,276
,,
ROI_1,18,313
,,
ROI_1,19,278
,,
ROI_1,20,265
,,
ROI_1,21,252
,,
ROI_1,22,224
,,
ROI_1,23,217
,,
ROI_1,24,253
,,
ROI_1,25,227
,,
ROI_1,26,237
,,
ROI_1,27,203
,,
ROI_1,28,216
,,
ROI_1,29,221
,,
ROI_1,30,236
,,
ROI_1,31,248
,,
ROI_1,32,217
,,
ROI_1,33,165
,,
ROI_1,34,215
,,
ROI_1,35,178
,,
ROI_1,36,207
,,
ROI_1,37,236
,,
ROI_1,38,189
,,
ROI_1,39,185
,,
ROI_1,40,192
,,
ROI_1,41,195
,,
ROI_1,42,213
,,
ROI_1,43,153
,,
ROI_1,44,185
,,
ROI_1,45,189
,,
ROI_1,46,184
,,
ROI_1,47,157
,,
ROI_1,48,160
,,
ROI_1,49,188
,,
ROI_1,50,178
,,
ROI_1,51,189
,,
ROI_1,52,156
,,
ROI_1,53,149
,,
ROI_1,54,174
,,
ROI_1,55,195
,,
ROI_1,56,185
,,
ROI_1,57,170
,,
ROI_1,58,159
,,
ROI_1,59,154
,,
ROI_1,60,171
,,
ROI_1,61,154
,,
ROI_1,62,150
,,
ROI_1,63,172
,,
ROI_1,64,163
,,
ROI_1,65,150
,,
ROI_1,66,142
,,
ROI_1,67,133
,,
ROI_1,68,122
,,
ROI_1,69,145
,,
ROI_1,70,132
,,
ROI_1,71,140
,,
ROI_1,72,141
,,
ROI_1,73,129
,,
ROI_1,74,120
,,
ROI_1,75,125
,,
ROI_1,76,124
,,
ROI_1,77,128
,,
ROI_1,78,117
,,
ROI_1,79,119
,,
ROI_1,80,103
,,
ROI_1,81,93
,,
ROI_1,82,95
,,
ROI_1,83,101
,,
ROI_1,84,112
,,
ROI_1,85,101
,,
ROI_1,86,97
,,
ROI_1,87,95
,,
ROI_1,88,109
,,
ROI_1,89,94
,,
ROI_1,90,73
,,
ROI_1,91,97
,,
ROI_1,92,91
,,
ROI_1,93,95
,,
ROI_1,94,101
,,
ROI_1,95,87
,,
ROI_1,96,88
,,
ROI_1,97,76
,,
ROI_1,98,96
,,
ROI_1,99,73
,,
ROI_1,100,80
,,
ROI_1,101,70
,,
ROI_1,102,99
,,
ROI_1,103,77
,,
ROI_1,104,71
,,
ROI_1,105,66
,,
ROI_1,106,63
,,
ROI_1,107,80
,,
ROI_1,108,61
,,
ROI_1,109,56
,,
ROI_1,110,68
,,
ROI_1,111,83
,,
ROI_1,112,59
,,
ROI_1,113,79
,,
ROI_1,114,54
,,
ROI_1,115,77
,,
ROI_1,116,79
,,
ROI_1,117,62
,,
ROI_1,118,55
,,
ROI_1,119,47
,,
ROI_1,120,59
,,
ROI_1,121,64
,,
ROI_1,122,68
,,
ROI_1,123,61
,,
ROI_1,124,59
,,
ROI_1,125,51
,,
ROI_1,126,59
,,
ROI_1,127,59
,,
ROI_1,128,58
,,
ROI_1,129,47
,,
ROI_1,130,49
,,
ROI_1,131,42
,,
ROI_1,132,68
,,
ROI_1,133,54
,,
ROI_1,134,57
,,
ROI_1,135,48
,,
ROI_1,136,44
,,
ROI_1,137,39
,,
ROI_1,138,56
,,
ROI_1,139,49
,,
ROI_1,140,38
,,
ROI_1,141,39
,,
ROI_1,142,58
,,
ROI_1,143,47
,,
ROI_1,144,37
,,
ROI_1,145,60
,,
ROI_1,146,45
,,
ROI_1,147,36
,,
ROI_1,148,59
,,
ROI_1,149,48
,,
ROI_1,150,37
,,
ROI_1,151,35
,,
ROI_1,152,40
,,
ROI_1,153,42
,,
ROI_1,154,37
,,
ROI_1,155,32
,,
ROI_1,156,37
,,
ROI_1,157,51
,,
ROI_1,158,34
,,
ROI_1,159,41
,,
ROI_1,160,30
,,
ROI_1,161,30
,,
ROI_1,162,40
,,
ROI_1,163,27
,,
ROI_1,164,26
,,
ROI_1,165,41
,,
ROI_1,166,33
,,
ROI_1,167,34
,,
ROI_1,168,31
,,
ROI_1,169,25
,,
ROI_1,170,23
,,
ROI_1,171,32
,,
ROI_1,172,20
,,
ROI_1,173,21
,,
ROI_1,174,25
,,
ROI_1,175,29
,,
ROI_1,176,24
,,
ROI_1,177,24
,,
ROI_1,178,29
,,
ROI_1,179,29
,,
ROI_1,180,21
,,
ROI_1,181,21
,,
ROI_1,182,29
,,
ROI_1,183,27
,,
ROI_1,184,22
,,
ROI_1,185,26
,,
ROI_1,186,18
,,
ROI_1,187,28
,,
ROI_1,188,27
,,
ROI_1,189,19
,,
ROI_1,190,29
,,
ROI_1,191,20
,,
ROI_1,192,14
,,
ROI_1,193,17
,,
ROI_1,194,23
,,
ROI_1,195,23
,,
ROI_1,196,28
,,
ROI_1,197,25
,,
ROI_1,198,18
,,
ROI_1,199,22
,,
ROI_1,200,20
,,
ROI_1,201,21
,,
ROI_1,202,14
,,
ROI_1,203,24
,,
ROI_1,204,20
,,
ROI_1,205,23
,,
ROI_1,206,25
,,
ROI_1,207,16
,,
ROI_1,208,11
,,
ROI_1,209,16
,,
ROI_1,210,12
,,
ROI_1,211,8
,,
ROI_1,212,11
,,
ROI_1,213,22
,,
ROI_1,214,14
,,
ROI_1,215,16
,,
ROI_1,216,17
,,
ROI_1,217,17
,,
ROI_1,218,16
,,
ROI_1,219,24
,,
ROI_1,220,18
,,
ROI_1,221,19
,,
ROI_1,222,21
,,
ROI_1,223,10
,,
ROI_1,224,20
,,
ROI_1,225,13
,,
ROI_1,226,20
,,
ROI_1,227,16
,,
ROI_1,228,9
,,
ROI_1,229,11
,,
ROI_1,230,13
,,
ROI_1,231,19
,,
ROI_1,232,18
,,
ROI_1,233,16
,,
ROI_1,234,9
,,
ROI_1,235,6
,,
ROI_1,236,12
,,
ROI_1,237,9
,,
ROI_1,238,11
,,
ROI_1,239,16
,,
ROI_1,240,13
,,
ROI_1,241,11
,,
ROI_1,242,13
,,
ROI_1,243,9
,,
ROI_1,244,11
,,
ROI_1,245,12
,,
ROI_1,246,13
,,
ROI_1,247,8
,,
ROI_1,248,13
,,
ROI_1,249,13
,,
ROI_1,250,15
,,
ROI_1,251,11
,,
ROI_1,252,5
,,
ROI_1,253,13
,,
ROI_1,254,10
,,
ROI_1,255,703
,,
ROI_2,0,4109
,,
ROI_2,1,432
,,
ROI_2,2,456
,,
ROI_2,3,441
,,
ROI_2,4,491
,,
ROI_2,5,505
,,
ROI_2,6,528
,,
ROI_2,7,472
,,
ROI_2,8,492
,,
ROI_2,9,476
,,
ROI_2,10,456
,,
ROI_2,11,410
,,
ROI_2,12,413
,,
ROI_2,13,379
,,
ROI_2,14,380
,,
ROI_2,15,372
,,
ROI_2,16,356
,,
ROI_2,17,319
,,
ROI_2,18,373
,,
ROI_2,19,305
,,
ROI_2,20,306
,,
ROI_2,21,271
,,
ROI_2,22,311
,,
ROI_2,23,296
,,
ROI_2,24,259
,,
ROI_2,25,239
,,
ROI_2,26,275
,,
ROI_2,27,264
,,
ROI_2,28,257
,,
ROI_2,29,211
,,
ROI_2,30,224
,,
ROI_2,31,253
,,
ROI_2,32,209
,,
ROI_2,33,212
,,
ROI_2,34,209
,,
ROI_2,35,186
,,
ROI_2,36,193
,,
ROI_2,37,219
,,
ROI_2,38,197
,,
ROI_2,39,191
,,
ROI_2,40,172
,,
ROI_2,41,167
,,
ROI_2,42,218
,,
ROI_2,43,181
,,
ROI_2,44,197
,,
ROI_2,45,195
,,
ROI_2,46,141
,,
ROI_2,47,152
,,
ROI_2,48,140
,,
ROI_2,49,172
,,
ROI_2,50,141
,,
ROI_2,51,171
,,
ROI_2,52,144
,,
ROI_2,53,144
,,
ROI_2,54,149
,,
ROI_2,55,164
,,
ROI_2,56,160
,,
ROI_2,57,145
,,
ROI_2,58,136
,,
ROI_2,59,141
,,
ROI_2,60,142
,,
ROI_2,61,137
,,
ROI_2,62,162
,,
ROI_2,63,124
,,
ROI_2,64,133
,,
ROI_2,65,107
,,
ROI_2,66,131
,,
ROI_2,67,129
,,
ROI_2,68,138
,,
ROI_2,69,99
,,
ROI_2,70,114
,,
ROI_2,71,111
,,
ROI_2,72,132
,,
ROI_2,73,148
,,
ROI_2,74,111
,,
ROI_2,75,106
,,
ROI_2,76,105
,,
ROI_2,77,107
,,
ROI_2,78,111
,,
ROI_2,79,91
,,
ROI_2,80,94
,,
ROI_2,81,111
,,
ROI_2,82,85
,,
ROI_2,83,92
,,
ROI_2,84,59
,,
ROI_2,85,109
,,
ROI_2,86,85
,,
ROI_2,87,76
,,
ROI_2,88,92
,,
ROI_2,89,84
,,
ROI_2,90,90
,,
ROI_2,91,111
,,
ROI_2,92,77
,,
ROI_2,93,78
,,
ROI_2,94,83
,,
ROI_2,95,84
,,
ROI_2,96,79
,,
ROI_2,97,81
,,
ROI_2,98,75
,,
ROI_2,99,64
,,
ROI_2,100,84
,,
ROI_2,101,81
,,
ROI_2,102,90
,,
ROI_2,103,99
,,
ROI_2,104,79
,,
ROI_2,105,62
,,
ROI_2,106,78
,,
ROI_2,107,86
,,
ROI_2,108,78
,,
ROI_2,109,77
,,
ROI_2,110,86
,,
ROI_2,111,72
,,
ROI_2,112,61
,,
ROI_2,113,56
,,
ROI_2,114,55
,,
ROI_2,115,62
,,
ROI_2,116,65
,,
ROI_2,117,75
,,
ROI_2,118,76
,,
ROI_2,119,65
,,
ROI_2,120,58
,,
ROI_2,121,72
,,
ROI_2,122,63
,,
ROI_2,123,65
,,
ROI_2,124,56
,,
ROI_2,125,61
,,
ROI_2,126,63
,,
ROI_2,127,71
,,
ROI_2,128,55
,,
ROI_2,129,46
,,
ROI_2,130,43
,,
ROI_2,131,62
,,
ROI_2,132,44
,,
ROI_2,133,50
,,
ROI_2,134,46
,,
ROI_2,135,59
,,
ROI_2,136,50
,,
ROI_2,137,40
,,
ROI_2,138,55
,,
ROI_2,139,48
,,
ROI_2,140,57
,,
ROI_2,141,50
,,
ROI_2,142,48
,,
ROI_2,143,59
,,
ROI_2,144,43
,,
ROI_2,145,47
,,
ROI_2,146,59
,,
ROI_2,147,41
,,
ROI_2,148,41
,,
ROI_2,149,32
,,
ROI_2,150,41
,,
ROI_2,151,50
,,
ROI_2,152,42
,,
ROI_2,153,34
,,
ROI_2,154,45
,,
ROI_2,155,39
,,
ROI_2,156,31
,,
ROI_2,157,36
,,
ROI_2,158,43
,,
ROI_2,159,37
,,
ROI_2,160,38
,,
ROI_2,161,30
,,
ROI_2,162,29
,,
ROI_2,163,31
,,
ROI_2,164,38
,,
ROI_2,165,33
,,
ROI_2,166,32
,,
ROI_2,167,37
,,
ROI_2,168,36
,,
ROI_2,169,26
,,
ROI_2,170,37
,,
ROI_2,171,29
,,
ROI_2,172,30
,,
ROI_2,173,24
,,
ROI_2,174,21
,,
ROI_2,175,34
,,
ROI_2,176,27
,,
ROI_2,177,29
,,
ROI_2,178,40
,,
ROI_2,179,27
,,
ROI_2,180,31
,,
ROI_2,181,32
,,
ROI_2,182,20
,,
ROI_2,183,28
,,
ROI_2,184,22
,,
ROI_2,185,30
,,
ROI_2,186,28
,,
ROI_2,187,30
,,
ROI_2,188,25
,,
ROI_2,189,21
,,
ROI_2,190,28
,,
ROI_2,191,30
,,
ROI_2,192,22
,,
ROI_2,193,24
,,
ROI_2,194,30
,,
ROI_2,195,18
,,
ROI_2,196,30
,,
ROI_2,197,22
,,
ROI_2,198,25
,,
ROI_2,199,20
,,
ROI_2,200,27
,,
ROI_2,201,29
,,
ROI_2,202,24
,,
ROI_2,203,26
,,
ROI_2,204,17
,,
ROI_2,205,25
,,
ROI_2,206,15
,,
ROI_2,207,18
,,
ROI_2,208,26
,,
ROI_2,209,21
,,
ROI_2,210,28
,,
ROI_2,211,10
,,
ROI_2,212,27
,,
ROI_2,213,24
,,
ROI_2,214,12
,,
ROI_2,215,16
,,
ROI_2,216,17
,,
ROI_2,217,21
,,
ROI_2,218,17
,,
