ROI,Bin,Count
ROI_1,0,5535
,,
ROI_1,1,679
,,
ROI_1,2,621
,,
ROI_1,3,470
,,
ROI_1,4,401
,,
ROI_1,5,346
,,
ROI_1,6,305
,,
ROI_1,7,303
,,
ROI_1,8,259
,,
ROI_1,9,240
,,
ROI_1,10,290
,,
ROI_1,11,248
,,
ROI_1,12,261
,,
ROI_1,13,225
,,
ROI_1,14,172
,,
ROI_1,15,193
,,
ROI_1,16,203
,,
ROI_1,17,171
,,
ROI_1,18,179
,,
ROI_1,19,174
,,
ROI_1,20,165
,,
ROI_1,21,146
,,
ROI_1,22,179
,,
ROI_1,23,152
,,
ROI_1,24,148
,,
ROI_1,25,121
,,
ROI_1,26,115
,,
ROI_1,27,123
,,
ROI_1,28,127
,,
ROI_1,29,129
,,
ROI_1,30,121
,,
ROI_1,31,112
,,
ROI_1,32,121
,,
ROI_1,33,111
,,
ROI_1,34,98
,,
ROI_1,35,106
,,
ROI_1,36,87
,,
ROI_1,37,100
,,
ROI_1,38,91
,,
ROI_1,39,66
,,
ROI_1,40,86
,,
ROI_1,41,88
,,
ROI_1,42,69
,,
ROI_1,43,79
,,
ROI_1,44,80
,,
ROI_1,45,65
,,
ROI_1,46,86
,,
ROI_1,47,84
,,
ROI_1,48,70
,,
ROI_1,49,64
,,
ROI_1,50,55
,,
ROI_1,51,60
,,
ROI_1,52,46
,,
ROI_1,53,63
,,
ROI_1,54,53
,,
ROI_1,55,66
,,
ROI_1,56,56
,,
ROI_1,57,52
,,
ROI_1,58,56
,,
ROI_1,59,60
,,
ROI_1,60,48
,,
ROI_1,61,46
,,
ROI_1,62,56
,,
ROI_1,63,52
,,
ROI_1,64,51
,,
ROI_1,65,49
,,
ROI_1,66,43
,,
ROI_1,67,38
,,
ROI_1,68,46
,,
ROI_1,69,52
,,
ROI_1,70,43
,,
ROI_1,71,38
,,
ROI_1,72,39
,,
ROI_1,73,43
,,
ROI_1,74,40
,,
ROI_1,75,49
,,
ROI_1,76,40
,,
ROI_1,77,41
,,
ROI_1,78,35
,,
ROI_1,79,51
,,
ROI_1,80,41
,,
ROI_1,81,27
,,
ROI_1,82,40
,,
ROI_1,83,45
,,
ROI_1,84,39
,,
ROI_1,85,33
,,
ROI_1,86,33
,,
ROI_1,87,45
,,
ROI_1,88,30
,,
ROI_1,89,34
,,
ROI_1,90,45
,,
ROI_1,91,35
,,
ROI_1,92,38
,,
ROI_1,93,28
,,
ROI_1,94,42
,,
ROI_1,95,22
,,
ROI_1,96,31
,,
ROI_1,97,23
,,
ROI_1,98,23
,,
ROI_1,99,27
,,
ROI_1,100,29
,,
ROI_1,101,19
,,
ROI_1,102,23
,,
ROI_1,103,24
,,
ROI_1,104,20
,,
ROI_1,105,24
,,
ROI_1,106,28
,,
ROI_1,107,25
,,
ROI_1,108,21
,,
ROI_1,109,23
,,
ROI_1,110,26
,,
ROI_1,111,20
,,
ROI_1,112,24
,,
ROI_1,113,14
,,
ROI_1,114,23
,,
ROI_1,115,14
,,
ROI_1,116,17
,,
ROI_1,117,14
,,
ROI_1,118,19
,,
ROI_1,119,28
,,
ROI_1,120,28
,,
ROI_1,121,28
,,
ROI_1,122,33
,,
ROI_1,123,35
,,
ROI_1,124,23
,,
ROI_1,125,6
,,
ROI_1,126,12
,,
ROI_1,127,23
,,
ROI_1,128,25
,,
ROI_1,129,12
,,
ROI_1,130,19
,,
ROI_1,131,13
,,
ROI_1,132,13
,,
ROI_1,133,13
,,
ROI_1,134,21
,,
ROI_1,135,9
,,
ROI_1,136,14
,,
ROI_1,137,14
,,
ROI_1,138,15
,,
ROI_1,139,9
,,
ROI_1,140,7
,,
ROI_1,141,17
,,
ROI_1,142,15
,,
ROI_1,143,14
,,
ROI_1,144,9
,,
ROI_1,145,11
,,
ROI_1,146,12
,,
ROI_1,147,7
,,
ROI_1,148,8
,,
ROI_1,149,4
,,
ROI_1,150,3
,,
ROI_1,151,4
,,
ROI_1,152,7
,,
ROI_1,153,11
,,
ROI_1,154,8
,,
ROI_1,155,7
,,
ROI_1,156,12
