 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
1,106.197,106.597,106.230,106.598,105.149,117.909,107.294,111.995,109.993,109.440,108.965,108.126,107.614,106.857,107.657,107.491,114.376,110.954,120.443,113.943
2,106.129,106.315,105.943,106.533,105.152,116.313,107.000,111.493,110.095,109.284,108.751,108.101,107.585,106.787,107.473,107.568,113.305,114.557,118.467,119.575
3,106.123,106.068,105.701,106.394,105.092,115.074,106.773,110.990,109.939,109.090,108.573,108.105,107.565,106.746,107.253,107.510,112.633,113.636,116.927,121.453
4,106.067,105.837,105.547,106.344,105.068,121.774,106.691,110.548,109.889,109.031,108.436,108.096,107.591,106.810,107.081,107.461,112.147,112.472,115.687,119.899
5,106.103,105.694,105.412,106.303,105.088,127.115,106.597,110.290,109.923,108.882,108.466,108.170,107.569,106.776,107.031,107.468,117.305,111.624,114.756,118.109
6,106.070,105.521,105.313,106.235,105.055,123.546,106.344,109.946,109.924,108.878,108.371,108.100,107.575,106.757,106.875,107.494,120.099,110.826,113.900,116.688
7,106.072,105.391,105.181,106.194,105.063,120.339,106.297,109.616,109.848,108.714,108.289,108.062,107.469,106.784,106.761,107.391,117.782,110.247,114.921,115.400
8,106.009,105.223,105.082,106.250,105.002,118.120,106.261,109.483,109.908,108.808,108.203,108.005,107.458,106.698,106.674,107.368,115.934,109.880,121.512,114.677
9,106.084,105.239,105.687,111.498,105.137,116.475,106.351,109.304,109.955,108.819,108.285,108.151,107.489,106.708,106.716,107.471,114.764,109.758,120.351,114.095
10,106.072,105.147,108.250,114.276,105.027,115.386,106.192,109.155,109.911,108.761,108.190,108.087,107.531,106.706,106.585,107.532,113.713,113.628,118.502,116.969
11,106.123,105.133,108.295,113.111,105.026,119.217,106.200,109.011,109.843,108.696,108.163,108.119,107.474,106.732,106.666,107.384,112.792,114.419,116.766,121.767
12,106.064,105.114,107.761,111.602,105.033,126.849,108.345,108.880,109.840,108.594,108.088,108.052,107.752,106.692,106.515,107.399,112.139,113.029,115.583,120.229
13,106.086,105.057,107.328,110.597,105.038,124.105,112.835,108.857,109.898,108.711,108.466,108.068,108.293,106.674,106.545,107.440,114.445,112.037,114.676,118.359
14,106.109,105.024,106.856,109.543,105.005,120.769,112.241,108.702,109.801,108.555,111.849,108.026,108.324,106.634,107.588,107.342,120.509,111.002,113.803,116.880
15,106.054,105.900,106.509,108.903,105.019,118.499,110.950,108.621,109.892,108.616,112.455,108.002,108.156,106.717,108.228,107.435,118.411,110.566,114.944,115.820
16,106.079,107.125,106.171,108.280,105.069,116.764,110.037,108.593,110.353,108.713,111.708,108.053,107.989,106.711,108.016,107.395,116.664,110.013,121.487,114.920
17,106.060,106.966,105.931,107.888,105.058,115.414,109.294,108.570,114.240,111.694,110.948,109.461,107.973,106.656,107.799,107.438,115.246,109.696,120.568,114.296
18,106.092,106.686,105.724,107.464,105.070,117.942,108.630,108.560,114.732,112.332,110.374,112.819,107.825,106.786,107.529,107.455,114.000,110.861,118.573,114.343
