 ,Mean1,Mean2,Mean3,Mean4,Mean5
1,110.488,105.634,105.819,108.321,105.811
2,110.018,105.532,105.763,107.996,105.728
3,109.760,105.570,105.792,107.800,105.717
4,109.365,105.664,105.782,107.757,105.755
5,109.168,105.645,105.766,107.655,105.751
6,109.022,105.808,105.739,107.695,105.758
7,108.957,108.179,105.654,107.604,105.824
8,108.783,108.058,105.903,107.583,105.693
9,108.751,107.477,105.845,107.562,105.773
10,108.692,106.989,105.714,107.495,105.832
11,108.626,106.599,105.832,107.539,105.670
12,108.561,106.274,105.813,107.519,105.720
13,108.514,106.025,105.882,107.483,105.702
14,108.461,105.923,105.757,107.443,105.685
15,108.554,105.821,105.776,107.488,105.747
16,108.385,105.725,105.826,107.507,105.730
17,108.400,105.698,105.760,107.485,105.694
18,108.461,105.649,105.689,107.546,105.735
19,108.438,105.701,105.946,107.496,105.811
20,108.408,105.619,105.757,107.559,105.736
21,108.397,105.611,106.600,107.453,105.677
22,108.385,105.590,108.243,107.462,105.803
23,108.415,105.560,107.765,107.480,105.765
24,108.408,105.624,107.309,107.560,105.729
25,108.424,105.519,106.863,107.451,105.783
26,108.386,105.662,106.686,107.486,105.675
27,108.382,105.616,106.317,107.473,105.647
28,108.401,105.512,106.165,107.448,105.684
29,108.512,105.596,106.042,107.504,105.734
30,108.378,105.535,105.847,107.492,105.772
31,108.446,105.571,105.905,107.482,105.713
32,108.458,105.597,106.024,107.458,105.614
33,108.487,105.620,105.752,107.571,105.782
34,112.398,105.585,105.852,107.513,105.724
35,115.527,105.573,105.874,107.598,105.661
36,114.546,105.558,105.782,107.554,105.631
37,113.351,105.593,105.771,107.528,105.683
38,112.458,105.586,105.709,107.512,105.697
39,111.521,105.604,105.781,107.529,105.716
40,110.855,105.616,105.813,107.460,105.766
41,110.410,105.549,105.775,107.642,105.770
42,109.902,105.565,105.827,107.557,105.773
43,109.642,105.534,105.800,107.488,105.711
44,109.326,105.515,106.000,107.592,105.597
45,109.199,105.571,105.908,107.594,105.686
46,108.913,105.560,105.729,107.474,105.697
47,108.915,105.569,105.983,107.448,105.723
48,108.755,105.563,105.766,107.527,105.653
49,108.670,105.540,105.837,107.581,105.733
50,108.601,105.518,105.747,107.427,105.636
51,108.562,105.580,105.826,107.459,105.661
52,108.553,105.542,105.839,107.489,105.615
53,108.589,105.537,105.752,107.567,105.720
54,108.407,105.550,105.714,107.462,105.705
55,108.456,105.538,105.816,107.504,105.715
56,108.394,105.501,105.828,107.509,105.708
57,108.402,105.587,106.231,107.492,105.741
58,108.473,105.590,108.482,107.598,105.733
59,108.406,105.556,107.921,107.472,105.669
60,108.395,105.628,107.393,107.518,105.691
61,108.367,105.502,107.002,107.524,105.629
62,108.344,105.526,106.633,107.418,105.641
63,108.367,105.557,106.402,107.484,105.719
64,108.391,105.583,106.240,107.573,105.708
65,108.468,105.606,106.211,107.565,105.714
66,108.372,105.549,106.061,107.599,105.776
67,108.423,105.618,105.881,107.553,105.666
68,108.453,105.528,105.846,107.541,105.625
69,108.452,105.560,105.854,108.258,105.668
70,108.392,105.497,105.641,110.934,105.646
