 ,Mean1,Mean2,Mean3,Mean4
1,108.833,110.013,107.283,107.426
2,108.859,109.991,107.280,107.356
3,108.838,109.926,107.296,107.363
4,108.853,109.853,107.292,107.344
5,108.825,109.807,107.275,107.274
6,108.852,109.813,107.294,107.503
7,108.854,109.814,107.275,107.263
8,108.883,109.753,107.298,107.285
9,108.898,109.762,107.259,107.228
10,108.852,109.766,107.322,107.265
11,108.949,109.782,107.332,107.344
12,108.877,109.863,107.308,107.226
13,108.840,109.881,107.304,107.284
14,108.851,109.814,107.331,107.240
15,108.823,109.684,107.306,107.305
16,108.768,109.814,107.249,107.182
17,108.855,109.803,107.288,107.202
18,108.762,109.801,107.305,107.250
19,108.849,109.821,107.329,107.263
20,108.880,109.845,107.382,107.329
21,108.883,109.758,107.339,107.202
22,109.062,109.773,107.320,107.264
23,113.620,109.827,107.230,107.274
24,114.097,109.777,107.297,107.259
25,113.184,109.816,107.368,107.304
26,112.295,109.843,107.286,107.257
27,111.560,109.758,107.333,107.275
28,110.894,109.775,107.269,107.218
29,110.426,109.831,107.303,107.255
30,110.101,109.832,107.306,107.301
31,109.783,109.921,107.299,107.313
32,109.536,109.847,107.294,107.211
33,109.435,109.908,107.354,107.384
34,109.311,109.896,107.296,107.264
35,109.157,112.927,107.332,107.161
36,109.058,114.636,107.348,107.279
37,109.112,113.950,107.339,107.205
38,109.058,113.150,107.285,107.253
39,108.938,112.479,107.273,107.373
40,108.982,111.880,107.292,107.275
41,108.928,111.413,107.304,107.308
42,108.882,110.833,107.208,107.183
43,108.830,110.655,107.174,108.515
44,108.836,110.492,107.230,109.181
45,108.864,110.362,107.203,109.048
46,108.921,110.262,107.263,108.773
47,108.910,110.228,107.272,108.529
48,108.822,110.104,107.285,108.310
49,108.872,110.051,107.316,108.143
50,108.851,109.958,107.330,107.933
51,108.828,109.917,107.251,107.838
52,108.923,109.900,107.332,107.722
53,108.818,109.905,107.303,107.579
54,108.831,109.945,107.789,107.509
55,108.902,109.878,107.900,107.461
56,108.828,109.936,107.850,107.472
57,108.897,109.737,107.814,107.434
58,108.895,109.762,107.643,107.486
59,108.870,109.834,107.633,107.480
60,108.914,109.797,107.579,107.435
61,108.906,109.799,107.525,107.408
62,108.926,109.852,107.490,107.459
63,108.939,109.839,107.412,107.454
64,108.824,109.737,107.324,107.339
65,108.883,109.841,107.345,107.414
66,108.921,109.934,107.376,107.309
67,108.977,109.871,107.333,107.319
68,112.702,109.809,107.331,107.383
69,114.300,109.801,107.341,107.352
70,113.429,109.890,107.382,107.402
71,112.511,109.865,107.321,107.330
72,111.649,109.766,107.243,107.338
73,111.091,109.767,107.285,107.324
74,110.586,109.862,107.308,107.344
75,110.199,109.900,107.243,107.255
76,109.799,110.995,107.286,107.371
77,109.616,114.753,107.235,107.192
78,109.426,114.248,107.241,107.255
79,109.310,113.505,107.198,107.186
80,109.225,112.769,107.260,107.168
81,109.124,112.202,107.251,107.348
82,109.069,111.686,107.253,107.313
83,109.011,111.219,107.304,107.340
84,108.994,110.914,107.323,107.362
85,108.965,110.611,107.249,107.244
86,108.965,110.500,107.289,107.286
87,108.930,110.356,107.261,107.238
88,108.963,110.233,107.241,107.279
89,108.890,110.097,107.252,107.279
90,108.819,109.980,107.240,107.256
91,108.782,109.973,107.243,107.885
92,108.824,110.040,107.278,109.357
93,108.927,109.939,107.296,109.140
94,108.834,109.910,107.253,108.856
95,108.898,109.846,107.338,108.648
96,108.890,109.924,107.256,108.374
97,108.878,109.794,107.264,108.143
98,108.847,109.848,107.229,107.910
99,108.877,109.861,107.375,107.893
100,108.884,109.849,107.345,107.849
101,108.827,109.814,107.345,107.770
102,108.949,109.930,107.303,107.632
103,108.937,109.855,107.393,107.580
104,108.869,109.915,107.356,107.513
105,108.861,109.883,107.292,107.496
106,108.921,109.896,107.299,107.480
107,108.874,109.884,107.276,107.350
108,108.856,109.890,107.319,107.466
109,108.899,109.959,107.273,107.419
110,108.916,109.935,107.263,107.350
111,108.921,109.863,107.286,107.321
112,108.859,109.882,107.438,107.227
113,108.945,109.889,107.947,107.350
114,108.916,109.877,107.896,107.314
115,108.873,109.786,107.777,107.277
116,108.900,109.878,107.696,107.320
117,108.918,109.879,107.645,107.367
118,108.829,109.780,107.505,107.439
119,108.920,109.867,107.470,107.331
120,108.862,109.778,107.371,107.217
121,108.913,109.813,107.416,107.237
122,112.230,109.850,107.372,107.395
123,114.330,109.911,107.366,107.298
124,113.435,109.851,107.289,107.083
125,112.587,109.866,107.359,107.359
126,111.770,109.953,107.350,107.312
127,111.088,109.888,107.263,107.314
128,110.654,110.016,107.303,107.282
129,110.250,113.665,107.281,107.339
130,109.910,114.589,107.267,107.239
131,109.683,113.878,107.370,107.241
132,109.518,113.018,107.287,107.208
133,109.409,112.542,107.316,107.373
134,109.265,111.926,107.303,107.270
135,109.230,111.502,107.284,107.239
136,109.117,111.085,107.289,107.348
137,108.964,110.858,107.333,107.217
138,109.009,110.668,107.286,107.236
139,108.969,110.429,107.205,107.054
140,108.952,110.359,107.262,107.270
141,108.958,110.142,107.330,107.274
142,108.845,109.963,107.183,107.117
143,108.909,110.013,107.308,107.342
144,108.844,109.910,107.239,108.370
145,108.858,109.946,107.232,109.230
146,108.895,109.853,107.236,109.173
147,108.809,109.811,107.269,108.856
148,108.816,109.848,107.308,108.663
149,108.841,109.923,107.273,108.387
150,108.836,109.944,107.280,108.157
151,108.762,109.847,107.236,107.882
152,108.796,109.865,107.262,107.777
153,108.799,109.802,107.259,107.715
154,108.789,109.813,107.183,107.544
155,108.832,109.765,107.205,107.652
156,108.871,109.834,107.307,107.528
157,108.860,109.940,107.260,107.484
158,108.876,109.890,107.221,107.436
159,108.853,109.905,107.316,107.533
160,108.803,109.928,107.247,107.332
161,108.825,109.920,107.228,107.305
162,108.842,109.983,107.351,107.453
163,108.926,112.304,107.264,107.262
164,108.923,114.871,107.289,107.371
165,108.937,114.145,107.329,107.287
166,110.659,113.367,107.244,107.194
167,114.462,112.686,107.250,107.252
168,113.785,112.056,107.301,107.241
169,112.837,111.571,107.274,107.202
170,111.979,111.046,107.240,107.177
171,111.352,110.806,107.301,107.260
172,110.726,110.569,107.223,107.224
173,110.350,110.534,107.307,107.207
174,110.013,110.415,107.298,107.286
175,109.778,110.320,107.280,107.217
176,109.646,110.192,107.279,107.199
177,109.429,110.089,107.264,107.204
178,109.326,110.037,107.256,107.212
179,109.138,110.001,107.306,107.280
180,109.148,110.003,107.542,107.255
181,109.085,109.942,107.904,107.284
182,108.950,109.910,107.832,107.237
183,108.923,109.852,107.758,107.323
184,108.993,109.824,107.709,107.368
185,108.940,109.948,107.623,107.339
186,108.931,109.972,107.583,107.300
187,108.913,109.934,107.499,107.267
188,108.852,109.905,107.451,107.220
189,108.907,109.875,107.416,107.234
190,108.884,109.871,107.477,107.326
191,108.785,109.808,107.322,107.080
192,108.840,109.793,107.241,107.243
