 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
1,108.921,111.906,109.838,110.290,108.858,109.351,109.785,107.789,107.102
2,111.457,110.958,109.511,109.480,108.203,111.568,108.736,107.299,107.030
3,110.830,109.989,109.266,108.797,107.688,110.740,108.914,108.008,108.386
4,109.724,109.244,111.340,109.799,107.447,109.495,109.371,108.474,108.691
5,108.925,108.643,112.195,109.712,109.856,110.722,108.446,107.892,108.201
6,111.383,108.239,111.419,109.040,109.590,111.278,109.452,107.395,107.832
7,110.854,107.931,110.551,109.086,108.724,109.804,108.890,107.614,107.401
8,109.725,110.314,109.996,109.941,108.166,109.436,108.592,108.508,107.240
9,108.982,111.644,109.693,109.294,107.744,111.762,109.598,108.049,107.145
10,111.354,110.539,109.408,108.703,107.423,110.364,108.713,107.365,106.888
11,110.972,109.762,111.363,110.191,108.122,109.303,109.175,107.366,107.942
12,109.784,108.992,112.352,109.602,109.990,111.302,109.156,108.599,108.852
13,108.924,108.465,111.452,108.820,109.048,110.856,108.333,108.234,108.391
14,111.234,108.107,110.767,109.636,108.434,109.777,109.736,107.663,107.935
15,110.988,107.935,110.041,109.778,107.871,110.283,108.831,107.219,107.510
16,109.847,111.480,109.665,108.983,107.382,111.477,108.847,108.558,107.588
17,108.989,111.434,109.362,108.943,107.355,110.106,109.664,108.370,109.149
18,111.116,110.374,109.505,110.105,109.506,109.216,108.654,107.707,108.863
19,110.897,109.406,112.584,109.255,109.410,112.042,109.348,107.203,108.184
20,109.763,108.809,111.919,108.622,108.718,110.484,109.146,108.307,107.716
21,109.007,108.361,111.077,109.904,108.125,109.313,108.400,108.458,107.526
22,111.000,108.144,110.444,109.574,107.581,111.114,109.652,107.805,107.994
23,111.109,108.218,109.864,108.915,107.283,111.171,108.736,107.342,109.071
24,109.828,111.814,109.573,109.304,107.191,109.979,108.967,107.861,108.546
25,109.079,111.155,109.446,109.888,107.059,109.947,109.475,108.555,108.161
26,110.864,110.064,112.616,109.137,108.680,111.602,108.524,107.886,107.836
27,111.156,109.381,112.301,108.766,109.666,110.147,109.500,107.456,107.634
28,109.966,108.812,111.387,110.150,108.810,109.280,109.104,107.483,109.302
29,109.001,108.323,110.731,109.496,108.182,111.775,108.523,108.639,109.044
30,110.827,108.033,110.089,108.844,107.770,110.814,109.578,108.093,108.414
31,111.112,109.602,109.650,109.730,107.411,109.595,108.767,107.568,107.854
32,109.898,111.748,109.401,109.788,107.543,110.814,109.097,107.182,107.631
33,109.050,110.775,109.744,109.021,109.918,111.342,109.414,108.603,107.792
34,110.559,109.857,112.631,109.024,109.276,110.048,108.453,108.264,109.327
35,111.268,109.098,111.896,110.164,108.600,109.624,109.523,107.696,108.863
