 ,Mean1,Mean2,Mean3
1,105.912,109.900,106.260
2,105.820,109.350,106.051
3,105.869,110.766,106.580
4,106.652,111.488,109.249
5,107.138,110.461,108.394
6,106.825,109.748,107.615
7,106.460,109.685,107.083
8,106.273,111.735,106.748
9,106.054,110.975,106.436
10,105.974,110.131,106.236
11,105.828,109.502,106.123
12,105.767,110.660,107.782
13,106.925,111.504,108.960
14,107.042,110.606,108.103
15,106.707,109.808,107.311
16,106.454,109.555,106.906
17,106.223,111.807,106.578
18,105.987,110.918,106.302
19,105.941,110.105,106.168
20,105.789,109.525,106.121
21,106.166,110.614,109.017
22,107.184,111.447,108.615
23,106.956,110.610,107.848
24,106.651,109.877,107.168
25,106.247,109.602,106.715
26,106.096,111.775,106.434
27,105.948,110.927,106.173
28,105.883,110.133,106.090
29,105.788,109.495,107.384
30,106.543,110.536,109.098
31,107.146,111.428,108.174
32,106.858,110.519,107.464
33,106.474,109.672,106.878
34,106.233,109.402,106.631
35,106.098,111.664,106.346
36,105.962,111.153,106.168
37,105.802,110.246,106.050
38,105.854,109.688,108.700
39,106.045,110.304,108.814
40,107.248,111.696,107.915
41,106.932,110.740,107.300
42,106.666,109.954,106.853
43,106.332,109.406,106.426
44,106.173,111.485,106.246
45,106.020,111.168,106.120
46,105.979,110.280,106.303
47,105.836,109.596,109.222
48,105.794,109.926,108.601
49,106.589,111.683,107.802
50,107.168,110.773,107.250
51,106.873,110.046,106.804
52,106.512,109.500,106.482
53,106.362,110.956,106.301
54,106.121,111.385,106.126
55,105.953,110.496,107.333
56,105.882,109.826,109.204
57,105.855,109.651,108.247
58,105.870,111.859,107.581
59,107.046,111.072,107.072
60,107.088,110.169,106.642
61,106.772,109.668,106.438
62,106.473,110.488,106.205
63,106.225,111.502,106.127
64,105.996,110.562,106.959
65,105.978,109.888,109.236
66,105.846,109.431,108.300
67,106.531,111.489,107.576
68,107.275,111.251,107.056
69,106.931,110.350,106.697
70,106.564,109.747,106.422
71,106.307,109.827,106.277
72,106.180,111.754,106.068
73,105.973,110.879,107.851
74,105.866,110.117,109.059
75,105.843,109.583,108.120
76,105.813,110.750,107.481
77,106.974,111.539,107.045
78,107.051,110.559,106.611
79,106.805,109.859,106.375
80,106.468,109.334,106.209
81,106.245,111.583,106.087
82,106.043,111.239,108.589
83,105.990,110.379,108.871
84,106.865,109.780,107.868
85,107.255,110.036,107.363
86,106.933,111.865,106.910
87,106.602,110.904,106.548
88,106.324,110.076,106.287
89,106.106,109.489,106.124
90,106.057,110.970,106.235
91,105.856,111.354,109.180
92,105.793,110.469,108.543
93,106.547,109.893,107.825
94,107.185,109.541,107.204
95,106.920,111.782,106.766
96,106.623,110.998,106.510
97,106.250,110.129,106.285
98,106.093,109.591,106.145
99,106.021,110.231,106.925
100,105.904,111.671,109.341
101,105.891,110.733,108.416
102,105.784,110.000,107.658
103,105.747,109.401,107.118
104,106.590,111.238,106.615
105,107.136,111.470,106.351
106,106.710,110.433,106.127
107,106.492,109.843,106.103
108,106.280,109.785,107.736
109,106.087,111.829,109.172
110,106.021,110.978,108.129
111,105.930,110.119,107.565
112,106.736,109.657,107.079
113,107.219,110.612,106.641
114,106.870,111.714,106.389
115,106.512,110.795,106.155
116,106.352,109.999,106.123
117,106.232,109.485,108.752
118,105.992,111.411,108.854
119,105.904,111.313,107.975
120,105.824,110.428,107.371
121,105.749,109.818,106.910
122,106.631,109.619,106.554
123,107.188,111.804,106.344
124,106.836,110.952,106.146
125,106.534,110.134,106.176
126,106.314,109.614,109.114
127,106.104,110.492,108.694
128,105.955,111.570,107.882
129,105.919,110.677,107.183
130,105.795,109.989,106.857
131,106.116,109.427,106.480
132,107.249,111.444,106.259
133,106.993,111.463,106.134
134,106.682,110.489,107.112
135,106.368,109.810,109.249
136,106.186,109.672,108.356
137,105.963,111.741,107.659
138,105.864,110.933,107.067
139,105.829,110.173,106.771
140,105.816,109.609,106.410
141,105.807,110.353,106.254
142,107.075,111.485,106.016
143,107.009,110.656,107.443
144,106.653,109.911,109.096
145,106.384,109.306,108.120
146,106.174,111.457,107.525
147,106.043,111.305,107.007
148,105.933,110.362,106.583
149,106.316,109.774,106.354
150,107.285,109.678,106.182
151,107.022,111.809,106.026
152,106.651,110.997,107.488
153,106.425,110.152,109.079
154,106.161,109.585,108.218
155,106.035,110.419,107.518
156,105.889,111.493,107.010
157,105.862,110.650,106.639
158,105.836,109.993,106.405
159,105.765,109.484,106.219
160,105.746,111.331,106.100
161,105.906,111.416,108.777
162,107.163,110.474,108.797
163,106.922,109.760,107.936
164,106.576,109.669,107.335
165,106.313,111.708,106.838
166,106.150,110.976,106.527
167,106.001,110.205,106.321
168,105.922,109.570,106.146
169,105.808,110.231,106.705
170,105.949,111.593,109.229
171,107.177,110.739,108.403
172,107.062,109.977,107.687
173,106.710,109.499,107.105
174,106.379,111.001,106.699
175,106.172,111.425,106.458
176,105.994,110.556,106.197
177,105.894,109.867,106.159
178,105.850,109.493,107.094
179,105.787,111.587,109.206
180,105.740,111.220,108.344
181,105.728,110.384,107.602
182,106.217,109.805,107.131
183,107.183,109.865,106.717
184,106.855,111.865,106.410
185,106.534,110.904,106.169
186,106.268,110.132,106.138
187,106.108,109.605,107.696
188,105.984,110.573,109.100
189,105.945,111.652,108.192
190,105.852,110.706,107.539
191,105.763,110.004,107.055
192,105.786,109.487,106.658
