 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
1,113.868,112.337,112.462,110.728,106.614,110.234,106.573,112.149,107.868,107.663,107.429,108.052
2,112.251,113.420,111.566,110.300,106.379,110.842,106.504,111.161,107.538,107.190,106.902,108.372
3,111.129,114.632,111.016,109.937,107.721,110.375,107.968,110.350,107.465,106.946,106.521,109.625
4,110.405,113.201,110.451,109.485,110.195,109.972,108.111,109.771,109.142,106.895,106.405,109.008
5,110.048,111.931,110.031,109.317,109.526,110.016,107.589,109.224,108.782,108.802,108.512,108.664
6,109.785,114.110,109.715,110.838,108.552,110.354,107.230,108.898,108.270,108.421,107.984,108.072
7,114.646,114.060,109.845,111.644,107.930,110.691,106.941,108.849,107.883,107.830,107.392,107.944
8,113.803,112.738,113.193,110.888,107.210,110.116,106.799,112.143,107.527,107.447,106.797,109.293
9,112.260,112.022,112.747,110.312,106.835,109.983,106.632,111.598,107.319,107.049,106.393,109.277
10,111.156,114.597,111.861,109.853,106.573,109.931,106.543,110.778,108.428,106.731,106.355,108.733
11,110.436,113.639,111.136,109.477,106.325,110.798,106.434,109.920,108.901,107.469,108.421,108.374
12,109.895,112.371,110.478,109.184,106.579,110.395,106.957,109.337,108.349,108.705,107.885,108.005
13,110.066,112.280,110.082,110.335,110.123,109.951,108.178,109.029,107.931,108.149,107.234,108.101
14,114.645,114.597,109.802,111.542,109.641,110.043,107.724,108.855,107.593,107.657,106.768,109.537
15,113.242,113.355,109.578,110.948,108.794,110.048,107.337,108.714,107.271,107.308,106.465,109.071
16,111.878,112.215,109.378,110.399,108.013,110.700,107.037,108.708,107.161,106.956,106.446,108.642
17,110.835,113.143,112.242,109.797,107.268,110.183,106.764,111.992,106.876,106.702,108.404,108.074
18,110.309,114.295,112.938,109.429,106.962,109.952,106.625,111.420,106.852,108.324,107.851,107.928
19,109.891,113.009,112.001,109.209,106.557,109.909,106.519,110.487,106.987,108.510,107.229,108.857
20,110.993,111.809,111.231,110.291,106.332,110.547,106.392,109.744,108.645,107.908,106.700,109.237
21,114.894,113.220,110.656,111.535,106.313,110.586,106.608,109.279,108.426,107.481,106.386,108.744
22,112.999,114.124,110.155,110.857,109.882,109.992,108.187,108.991,107.935,107.120,106.467,108.357
23,111.534,112.871,109.757,110.364,109.738,109.961,107.805,108.653,107.549,106.768,108.417,108.013
24,110.712,111.723,109.509,109.897,108.795,109.820,107.342,108.491,107.239,106.937,107.806,107.741
